,City name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
200,Qaanaaq,100,GL,1571096565,70,77.48,-69.36,22.85600000000003,7.24
201,Mbarara,94,UG,1571096566,90,-0.61,30.65,60.26000000000008,0.798
202,Sur,0,OM,1571096566,47,22.57,59.53,77.72000000000006,0.47
203,Chapais,75,CA,1571096572,80,49.78,-74.86,39.2,2.1
204,Kruisfontein,21,ZA,1571096572,81,-34.0,24.73,58.352000000000075,7.619
205,Byron Bay,76,AU,1571096441,69,-28.65,153.62,75.00200000000008,1.0
206,Rehoboth,83,NA,1571096573,36,-23.31,17.08,64.04000000000002,3.647
207,Isangel,75,VU,1571096574,65,-19.55,169.27,77.0,4.1
208,Nelson Bay,0,AU,1571096578,60,-32.72,152.14,75.99199999999999,2.6
209,Mao,20,DO,1571096578,74,19.55,-71.08,84.2,1.79
210,Katsuura,75,JP,1571096578,68,33.93,134.5,68.0,9.3
211,Port Pirie,49,AU,1571096579,82,-33.18,138.01,59.0,3.1
212,Zhanakorgan,99,KZ,1571096579,38,43.91,67.25,53.47400000000002,5.516
213,Plettenberg Bay,49,ZA,1571096580,76,-34.05,23.37,61.196000000000055,4.35
214,Buchanan,40,LR,1571096581,94,5.88,-10.05,77.0,1.101
215,Alyangula,80,AU,1571096581,66,-13.85,136.42,84.2,3.6
216,Ketchikan,90,US,1571096582,81,55.34,-131.65,44.6,7.2
217,Srednekolymsk,100,RU,1571096582,95,67.46,153.71,25.898000000000025,7.238
218,Seoul,20,KR,1571096300,71,37.57,126.98,55.400000000000006,1.0
219,Ilo,58,PE,1571096583,85,-17.65,-71.34,63.266000000000005,3.448
220,Vardo,1,US,1571096584,50,39.62,-77.74,66.2,3.556
221,Naze,85,NG,1571096584,97,5.43,7.07,73.70600000000003,2.019
222,Iqaluit,75,CA,1571096585,85,63.75,-68.52,24.8,1.0
223,Vanimo,100,PG,1571096585,73,-2.67,141.3,80.67200000000004,2.501
224,Hearst,98,CA,1571096130,90,49.69,-83.67,36.248000000000026,3.902
225,Te Anau,93,NZ,1571096586,92,-45.41,167.72,47.174000000000014,2.135
226,Pangnirtung,100,CA,1571096586,66,66.15,-65.72,27.53600000000007,1.717
227,Fort Nelson,75,CA,1571096587,74,58.81,-122.69,37.4,2.6
228,Russell,1,US,1571096587,38,38.9,-98.86,78.80000000000001,6.7
229,Puerto del Rosario,20,ES,1571096588,73,28.5,-13.86,71.6,7.2
230,George,23,MW,1571096588,78,-15.35,34.83,69.566,1.152
231,Tinqueux,100,FR,1571096589,72,49.25,3.99,62.6,3.1
232,Kautokeino,93,NO,1571096590,97,69.01,23.04,26.294000000000075,1.401
233,Annau,0,TM,1571096590,66,37.89,58.52,51.8,1.0
234,Jalu,0,LY,1571096590,35,29.03,21.55,76.4600000000001,4.257
235,Domna,20,RU,1571096591,27,51.9,113.16,41.0,3.0
236,Leningradskiy,100,RU,1571096591,80,69.38,178.42,33.89000000000002,6.417
237,Kapit,91,MY,1571096592,96,2.02,112.94,74.48000000000005,0.722
238,Pergamino,97,AR,1571096592,61,-33.9,-60.57,55.004000000000055,1.34
239,Dicabisagan,89,PH,1571096593,84,17.08,122.42,77.97200000000004,3.517
240,Hami,0,CN,1571096593,30,42.84,93.51,48.2,2.221
241,Ust-Nera,100,RU,1571096593,90,64.57,143.24,5.954000000000054,1.276
242,Turinsk,100,RU,1571096594,86,58.04,63.7,43.556000000000026,5.605
243,Parrita,75,CR,1571096594,100,9.52,-84.33,68.0,2.1
244,Bethel,1,US,1571096595,49,60.79,-161.76,46.4,7.2
245,Slonim,0,BY,1571096595,94,53.09,25.32,54.21200000000006,1.509
246,Salalah,20,OM,1571096596,78,17.01,54.1,80.6,3.6
247,Nantucket,90,US,1571096596,100,41.28,-70.1,59.0,5.1
248,Anadyr,40,RU,1571096596,86,64.73,177.51,39.2,15.0
249,Lufilufi,40,WS,1571096597,74,-13.87,-171.6,87.80000000000001,4.1
250,Cayenne,69,GF,1571096597,88,4.94,-52.33,77.0,2.485
251,Marawi,86,PH,1571096598,87,8.0,124.29,77.0,2.24
252,Tautira,75,PF,1571096598,69,-17.73,-149.15,84.00200000000008,2.1
253,Santa Cruz,36,BR,1571096599,85,-6.22,-36.02,72.59000000000003,4.078
254,Uray,98,RU,1571096599,92,60.13,64.8,41.32400000000001,2.349
255,Blyznyuky,80,UA,1571096600,72,48.86,36.56,53.87000000000006,3.808
256,Shamkhal,0,RU,1571096600,64,43.06,47.33,60.674000000000014,4.692
257,Evensk,88,RU,1571096600,75,61.92,159.24,15.908000000000005,3.969
258,Adrar,76,DZ,1571096601,32,27.87,-0.29,80.6,2.6
259,Vestmanna,51,FO,1571096601,93,62.16,-7.17,48.2,7.7
260,Acari,23,BR,1571096602,83,-6.44,-36.64,70.57400000000001,11.909
261,Kaili,51,ID,1571096603,76,-3.46,120.21,68.792,0.593
262,Deputatskiy,93,RU,1571096603,92,69.3,139.9,11.660000000000082,1.833
263,Kysyl-Syr,92,RU,1571096604,92,63.9,122.77,17.618000000000087,3.174
264,The Pas,90,CA,1571096604,100,53.82,-101.24,37.4,3.6
265,Chernenko,20,UA,1571096605,64,47.23,37.74,58.49600000000005,2.011
266,Mandera,69,ET,1571096605,69,3.94,41.86,81.08600000000007,3.647
267,Ryotsu,75,JP,1571096605,62,38.08,138.43,60.8,2.1
268,Nadym,100,RU,1571096606,98,65.53,72.51,39.97400000000001,3.679
269,Mizdah,34,LY,1571096607,85,31.45,12.98,64.72400000000002,3.687
270,Manggar,84,ID,1571096608,78,-2.88,108.27,80.834,4.598
271,Markova,0,RU,1571096608,73,52.21,104.21,24.8,2.0
272,Lavrentiya,100,RU,1571096609,80,65.58,-170.99,37.4,10.816
273,Sao Filipe,100,CV,1571096609,86,14.9,-24.5,77.63000000000005,9.034
274,Maragogi,17,BR,1571096610,78,-9.01,-35.22,78.26000000000008,7.828
275,Henties Bay,76,NA,1571096611,87,-22.12,14.28,62.99600000000005,2.68
276,Nemuro,40,JP,1571096611,70,43.32,145.57,46.4,2.6
277,Corn Island,100,NI,1571096612,86,12.17,-83.04,78.458,3.816
278,Mindelo,40,PT,1571096612,93,41.31,-8.72,55.004000000000055,2.6
279,Victoria Point,75,AU,1571096613,78,-27.58,153.3,75.99199999999999,5.1
280,Burgeo,100,CA,1571096613,81,47.61,-57.61,49.352000000000075,4.605
281,Panjab,0,AF,1571096613,60,34.38,67.02,28.291999999999994,2.406
282,Abaza,28,RU,1571096614,61,52.65,90.1,37.92200000000004,2.924
283,Tolaga Bay,100,NZ,1571096614,90,-38.37,178.3,58.352000000000075,14.031
284,Catalina,29,PE,1571096615,30,-13.57,-76.13,71.6,10.3
285,Abu Kamal,68,SY,1571096615,15,34.45,40.92,70.41200000000006,1.718
286,Port Macquarie,12,AU,1571096616,60,-31.43,152.91,89.99600000000005,3.1
287,Cap Malheureux,40,MU,1571096616,94,-19.98,57.61,69.00800000000001,3.1
288,Beringovskiy,100,RU,1571096616,95,63.05,179.32,38.93000000000004,13.022
289,Carutapera,23,BR,1571096617,79,-1.2,-46.02,80.90600000000003,7.76
290,Karratha,8,AU,1571096617,72,-20.74,116.85,73.058,6.394
291,Beian,20,NO,1571096617,100,63.66,9.57,42.998000000000026,3.6
292,Beloha,49,MG,1571096618,76,-25.17,45.06,71.2760000000001,9.72
293,Saint George,0,GR,1571096618,93,39.45,22.34,57.2,0.214
294,Kropotkin,0,RU,1571096619,48,45.43,40.58,60.998000000000026,1.821
295,Port Blair,100,IN,1571096619,77,11.67,92.75,84.27200000000005,7.181
296,Hualmay,90,PE,1571096619,78,-11.1,-77.61,60.76400000000004,1.6
297,Penzance,83,GB,1571096620,93,50.12,-5.53,55.99400000000007,2.6
298,Ixtapa,75,MX,1571096620,74,20.71,-105.21,87.80000000000001,5.1
299,Kurush,0,RU,1571096621,81,41.28,47.83,46.4,2.774
300,Brae,60,GB,1571096621,93,60.4,-1.35,50.0,3.6
301,Gazli,15,UZ,1571096622,48,40.13,63.45,44.69000000000002,1.059
302,Wichita Falls,1,US,1571096622,44,33.91,-98.49,87.80000000000001,7.2
303,Jawhar,0,IN,1571096623,57,19.91,73.23,74.76800000000009,3.172
304,Harper,40,US,1571096623,54,30.3,-99.24,82.99400000000009,3.1
305,Muli,100,CN,1571096623,92,28.08,109.56,53.83399999999999,4.678
306,Umm Lajj,71,SA,1571096624,36,25.02,37.27,78.00800000000001,0.034
307,Nhulunbuy,40,AU,1571096624,62,-12.18,136.78,84.2,5.7
308,El Alto,75,BO,1571096625,61,-16.5,-68.19,48.2,5.1
309,Buraydah,0,SA,1571096625,39,26.33,43.97,78.80000000000001,3.6
310,Kamenka,78,MD,1571096626,91,48.03,28.7,41.0,1.522
311,Hope,90,US,1571096626,77,33.67,-93.59,69.00800000000001,2.1
312,Norman Wells,40,CA,1571096627,85,65.28,-126.83,32.0,1.0
313,Kahului,20,US,1571096627,48,20.89,-156.47,87.80000000000001,7.7
314,Praia,0,BR,1571096628,36,-20.25,-43.81,75.2,2.1
315,Half Moon Bay,1,US,1571096628,82,37.46,-122.43,80.6,2.1
316,Torzhok,74,RU,1571096628,87,57.04,34.97,50.648000000000025,5.023
317,Ambunti,55,PG,1571096629,61,-4.22,142.82,87.584,0.6
318,Donegal,88,IE,1571096629,98,54.65,-8.11,47.12000000000006,2.023
319,Longyearbyen,75,NO,1571096630,79,78.22,15.63,23.0,1.111
320,Antofagasta,20,CL,1571096630,72,-23.65,-70.4,62.6,4.1
321,Road Town,20,VG,1571096631,70,18.42,-64.62,84.2,1.5
322,Pisco,29,PE,1571096631,30,-13.71,-76.2,71.6,10.3
323,Scarborough,100,GB,1571096632,93,54.28,-0.41,51.998000000000026,6.2
324,Avera,1,US,1571096633,78,33.19,-82.53,77.0,1.725
325,Shushenskoye,13,RU,1571096634,70,53.33,91.95,37.97600000000009,1.873
326,Tatarskaya Kargala,40,RU,1571096635,87,51.95,55.17,42.8,3.0
327,Yarim,36,YE,1571096635,41,14.3,44.38,54.608000000000004,6.446
328,Gallup,1,US,1571096635,13,35.53,-108.74,69.80000000000001,8.7
329,Geraldton,75,CA,1571096636,80,49.72,-86.95,41.0,4.1
330,Talnakh,100,RU,1571096636,90,69.49,88.39,28.13000000000004,1.598
331,Esmeraldas,0,BR,1571096637,33,-19.76,-44.31,77.0,3.1
332,Cockburn Town,21,TC,1571096637,74,21.46,-71.14,83.2100000000001,5.693
333,Cabo San Lucas,75,MX,1571096638,83,22.89,-109.91,82.99400000000009,5.1
334,Los Llanos de Aridane,75,ES,1571096638,68,28.66,-17.92,69.80000000000001,3.1
335,Saint Lawrence,75,MT,1571096638,94,36.06,14.2,71.00600000000003,4.1
336,Dawei,100,MM,1571096639,73,14.07,98.19,81.48200000000003,6.229
337,Dabat,90,ET,1571096639,74,12.98,37.77,54.06800000000008,0.437
338,Itoman,75,JP,1571096639,73,26.12,127.67,77.0,11.3
339,Souillac,97,FR,1571096640,100,45.6,-0.6,59.0,3.6
340,Kavieng,43,PG,1571096640,70,-2.57,150.8,83.26400000000004,2.4
341,Dunedin,100,NZ,1571096641,77,-45.87,170.5,53.00600000000003,12.52
342,Oster,0,UA,1571096641,71,50.95,30.88,50.0,2.0
343,Aden,1,YE,1571096641,61,12.79,45.03,82.058,3.577
344,Clyde River,90,CA,1571096642,51,70.47,-68.59,35.6,5.7
345,North Bend,1,US,1571096643,72,43.41,-124.22,64.00400000000005,8.2
346,Bubaque,57,GW,1571096643,76,11.28,-15.83,82.76000000000008,4.677
347,Esperance,40,AU,1571096644,100,-33.86,121.89,51.8,2.6
348,Lexington,1,US,1571096644,44,38.05,-84.5,66.2,1.045
349,Sarangani,95,PH,1571096645,71,5.4,125.46,82.65200000000007,2.086
